Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,Latitude,Longitude,Geocoded_Address,Geocode_Quality
x Brighton Ave,Allston/Brighton,02134,129,129,0,112,112,0,17,17,0,Rental,Private,,,42.3527404,-71.13037,"Brighton Ave, Boston, MA 02134, USA",full_match
x Broad Street,Downtown,02110,96,0,96,93,0,93,3,0,3,Ownership,Private,,,42.3572861,-71.0523048,"Broad St, Boston, MA 02110, USA",full_match
x Brooks St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.3785391,-71.0348473,"Brooks St, Boston, MA 02128, USA",full_match
x Burbank Street,Fenway,02115,36,36,0,5,5,0,31,31,0,Rental,Private,,,42.3443729,-71.0881815,"Burbank St, Boston, MA 02115, USA",full_match
x Burney St,Jamaica Plain,02120,24,24,0,21,21,0,3,3,0,Rental,Private,,,42.3317862,-71.0996134,"Burney St, Boston, MA 02120, USA",full_match
x Burt St/VOA Sober House,Dorchester,02124,16,16,0,0,0,0,16,16,0,Rental,Private,,,42.2843407,-71.0689072,"Burt St, Boston, MA 02124, USA",full_match
x Bushnell St,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.2841112,-71.0627441,"Bushnell St, Boston, MA 02124, USA",full_match
x Cambridge,Allston,02134,44,0,44,38,0,38,6,0,6,Ownership,Private,,,42.3593008,-71.1270268,"Allston, MA 02134, USA",full_match
x Cambridge St,Allston,02134,32,0,32,28,0,28,4,0,4,Ownership,Private,,,42.3564192,-71.1306347,"Cambridge St, Boston, MA 02134, USA",full_match
x Cambridge Street,Allston,02134,40,40,0,35,35,0,5,5,0,Rental,Private,,,42.3564192,-71.1306347,"Cambridge St, Boston, MA 02134, USA",full_match
x Cameron Street,Dorchester,02125,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.3107138,-71.0634663,"Cameron St, Boston, MA 02125, USA",full_match
x Carlford Rd,Jamaica Plain,02130,2,2,0,0,0,0,2,2,0,Rental,Public,,,42.2906437,-71.1181312,"Carlford Rd, Boston, MA 02130, USA",full_match
x Catawba St - Youthbuild,Roxbury,02119,3,2,1,1,1,0,2,1,1,Ownership/Rental,Private,,,42.3200694,-71.0840847,"Catawba St, Boston, MA 02119, USA",full_match
x Centre Street,Jamaica Plain,02119,103,103,0,68,68,0,35,35,0,Rental,Public/Private,,,42.3268563,-71.0962157,"Centre St, Boston, MA 02119, USA",full_match
x Cetnre Street,Jamaica Plain,02130,204,204,0,0,0,0,204,204,0,Rental,Public,,,42.3115757,-71.1143932,"Centre St, Boston, MA 02130, USA",full_match
x Chamblet Street,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.3157732,-71.0720415,"Chamblet St, Boston, MA 02125, USA",full_match
x Chaucer St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.3831367,-71.0210162,"Chaucer St, Boston, MA 02128, USA",full_match
x Chauncy Street Condominium,Downtown,02111,33,0,33,29,0,29,4,0,4,Ownership,Private,,,42.3528358,-71.0609871,"Chauncy St, Boston, MA 02111, USA",full_match
x Chelsea St (1-4 Program),East Boston,02128,4,0,4,0,0,0,4,0,4,Ownership,Private,,,42.3783602,-71.0289536,"Chelsea St, Boston, MA 02128, USA",full_match
x Chelsea St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.3783602,-71.0289536,"Chelsea St, Boston, MA 02128, USA",full_match
x Chelsea Street E. Boston - COB,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,,42.3783602,-71.0289536,"Chelsea St, Boston, MA 02128, USA",full_match
x Chestnut Ave (1-4 Program),Jamaica Plain,02130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.2930626,-71.1123354,"Chestnut Ave, Boston, MA 02130, USA",full_match
x Chestnut Hill Ave,Brighton,02135,21,21,0,18,18,0,3,3,0,Rental,Private,,,42.3430263,-71.1535816,"Chestnut Hill Ave, Boston, MA 02135, USA",full_match
x Chipman St (RDP),Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.2874709,-71.0743447,"Chipman St, Boston, MA 02124, USA",full_match
x Clarkson St,Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,,42.3081861,-71.0676309,"Clarkson St, Boston, MA 02125, USA",full_match
x Clifton St,Dorchester,02125,2,2,0,0,0,0,2,2,0,Rental,Public,,,42.3205513,-71.0695669,"Clifton St, Boston, MA 02125, USA",full_match
x Clifton St (RDP),Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.3234608,-71.0708381,"Clifton St, Boston, MA 02119, USA",full_match
x Coffey St,Dorchester,02122,46,46,0,43,43,0,3,3,0,Rental,Private,,,42.2888854,-71.0494547,"Coffey St, Boston, MA 02122, USA",full_match
x Coleman St (1-4 Program),Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.3080665,-71.0664368,"Coleman St, Boston, MA 02125, USA",full_match
x Coleman St (REO),Dorchester,02125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.3080665,-71.0664368,"Coleman St, Boston, MA 02125, USA",full_match
x Coleman Street,Dorchester,02125,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.3080665,-71.0664368,"Coleman St, Boston, MA 02125, USA",full_match
x Colonial Avenue E+,Dorchester,02124,4,0,4,3,0,3,1,0,1,Ownership,Private,,,42.2906364,-71.076045,"Colonial Ave, Boston, MA 02124, USA",full_match
x Columbus Ave,Roxbury,02119,5,5,0,0,0,0,5,5,0,Rental,Private,,,42.3221708,-71.0983575,"Columbus Ave, Boston, MA 02119, USA",full_match
x Columbus Ave Conversion,South end,02116,62,0,62,54,0,54,8,0,8,Ownership,Private,,,42.3440212,-71.0775739,"Columbus Ave, Boston, MA, USA",full_match
x Columbus Avenue,Roxbury,02119,165,165,0,0,0,0,165,165,0,Rental,Public,Y,,42.3221708,-71.0983575,"Columbus Ave, Boston, MA 02119, USA",full_match
x Commercial St,North End,02109,20,0,20,18,0,18,2,0,2,Ownership ,Private,,,42.3648547,-71.0511013,"Commercial St, Boston, MA, USA",full_match
x Commonwealth Ave,Brighton,02135,80,80,0,70,70,0,10,10,0,Rental,Private,,,42.3413046,-71.1503243,"Commonwealth Ave, Boston, MA 02135, USA",full_match
x Commonwealth Ave (Phase 2 - Dorm/Micro Conversion),Allston,02134,179,179,0,155,155,0,24,24,0,Rental,Private,,,42.3496423,-71.1319963,"Commonwealth Ave, Boston, MA 02134, USA",full_match
x Commonwealth Avenue,Allston,02134,61,61,0,1,1,0,60,60,0,Rental,Private,,,42.3496423,-71.1319963,"Commonwealth Ave, Boston, MA 02134, USA",full_match
x Condor St,East Boston,02128,18,0,18,16,0,16,2,0,2,Ownership,Private,,,42.3825994,-71.0346145,"Condor St, Boston, MA 02128, USA",full_match
x Congress Street,South Boston Waterfront,02127,44,44,0,40,40,0,4,4,0,Rental,Private,,,42.3494259,-71.0439723,"Congress St, Boston, MA, USA",full_match
x Corman Road Mattapan - COB,Mattapan,02126,2,1,1,1,0,1,1,0,1,Ownership,Private,,,42.2715817,-71.1018994,"Corman Rd, Boston, MA 02126, USA",full_match
x Cranston St,Jamaica Plain,02130,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.3207524,-71.1085761,"Cranston St, Boston, MA 02130, USA",full_match
